id.rownames	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_gene_id	mgi_symbol	gene_biotype
ENSRNOG00000009389	2002.272699	-0.4598977	0.098575039	-4.66545794	3.08E-06	0.000513737	ENSRNOG00000009389		protein_coding
ENSRNOG00000025570	2331.299015	-0.220926696	0.047568285	-4.644411581	3.41E-06	0.000561875	ENSRNOG00000025570		protein_coding
ENSRNOG00000010165	2057.094102	-0.299612041	0.065208674	-4.594665414	4.33E-06	0.000705283	ENSRNOG00000010165		protein_coding
ENSRNOG00000007719	964.739215	-0.42433955	0.092564544	-4.584255843	4.56E-06	0.000732303	ENSRNOG00000007719		protein_coding
ENSRNOG00000039496	2763.789207	-0.350378207	0.076961751	-4.552627785	5.30E-06	0.000831281	ENSRNOG00000039496		protein_coding
ENSRNOG00000014835	7908.284001	-0.950991458	0.212021905	-4.485345317	7.28E-06	0.001090285	ENSRNOG00000014835		protein_coding
ENSRNOG00000053895	342.6570947	-0.680365316	0.152053743	-4.474505531	7.66E-06	0.001134196	ENSRNOG00000053895		protein_coding
ENSRNOG00000011991	612.9971832	-0.412081022	0.092477156	-4.456030457	8.35E-06	0.001222682	ENSRNOG00000011991		protein_coding
ENSRNOG00000008587	248.8713051	-0.726515559	0.163697734	-4.438152826	9.07E-06	0.001299866	ENSRNOG00000008587		protein_coding
ENSRNOG00000049402	879.9983786	-0.362922673	0.082104355	-4.420260929	9.86E-06	0.001397105	ENSRNOG00000049402		protein_coding
ENSRNOG00000008927	1682.103855	-0.286164083	0.065036833	-4.400031038	1.08E-05	0.001485982	ENSRNOG00000008927		protein_coding
ENSRNOG00000051158	210.0078936	-8.770891712	2.01388404	-4.355211888	1.33E-05	0.001787884	ENSRNOG00000051158		protein_coding
ENSRNOG00000010747	2386.542474	-0.743441028	0.171377718	-4.338026174	1.44E-05	0.001914003	ENSRNOG00000010747		protein_coding
ENSRNOG00000008825	4551.356151	-0.247709578	0.057364668	-4.318155867	1.57E-05	0.002073719	ENSRNOG00000008825		protein_coding
ENSRNOG00000060100	846.5707217	-0.314162274	0.073091566	-4.298201461	1.72E-05	0.002235317	ENSRNOG00000060100		protein_coding
ENSRNOG00000060185	936.8237279	-0.273679181	0.064133697	-4.267322669	1.98E-05	0.00252994	ENSRNOG00000060185		protein_coding
ENSRNOG00000017631	1282.178376	-0.217993445	0.051134167	-4.263166074	2.02E-05	0.00252994	ENSRNOG00000017631		protein_coding
ENSRNOG00000025695	2857.624237	-0.303131862	0.071453155	-4.242385971	2.21E-05	0.002749844	ENSRNOG00000025695		protein_coding
ENSRNOG00000001875	677.3509789	-0.318120525	0.075235548	-4.228327329	2.35E-05	0.002774044	ENSRNOG00000001875		protein_coding
ENSRNOG00000026647	1075.307952	-0.793802692	0.187570708	-4.232018421	2.32E-05	0.002774044	ENSRNOG00000026647		protein_coding
ENSRNOG00000019981	3706.35706	-0.210926253	0.049795774	-4.235826359	2.28E-05	0.002774044	ENSRNOG00000019981		protein_coding
ENSRNOG00000036698	2298.632947	-0.233619117	0.055254643	-4.228045024	2.36E-05	0.002774044	ENSRNOG00000036698		protein_coding
ENSRNOG00000013791	783.6670529	-1.031299502	0.244844854	-4.212053	2.53E-05	0.00292573	ENSRNOG00000013791		protein_coding
ENSRNOG00000008412	598.5801913	-0.354057719	0.084650664	-4.18257462	2.88E-05	0.003303325	ENSRNOG00000008412		protein_coding
ENSRNOG00000021143	1004.106296	-0.270469042	0.065411499	-4.134885246	3.55E-05	0.003933311	ENSRNOG00000021143		protein_coding
ENSRNOG00000002572	2420.057029	-0.221856006	0.053959154	-4.111554593	3.93E-05	0.00428082	ENSRNOG00000002572		protein_coding
