Ensembl_GeneID	Entrez_GeneID	HGNC_GeneSymbol	Inhi_GeneExpression_log2FPKM	Prec_GeneExpression_log2FPKM	ScrInhi_GeneExpression_log2FPKM	ScrPrec_GeneExpression_log2FPKM
ENSRNOG00000020129	116777	Cdh3	3.55766461427677	3.84310173901748	3.64123500548474	3.4867327081606
ENSRNOG00000046202	316842	Metrnl	5.22598665854576	5.54968889047609	5.20844584570078	5.3195660425606
ENSRNOG00000046203	104796142	Mir322-2	0	0.22352750616402	0.229899024222336	0.331783698307569
ENSRNOG00000046204	679462	Tspan15	1.93089949801524	2.04630766672553	2.10450796468945	2.03798577506021
ENSRNOG00000046207	501403	Cbx4	3.52135696647755	3.45595943452255	3.44444693966006	3.37597489750624
ENSRNOG00000013407	252854	Slc5a11	0	0	0	0
ENSRNOG00000013408	316351	Npas2	0.742549672470555	0.825142716857771	0.847336906457823	0.922325153265566
ENSRNOG00000013409	29739	Gclm	4.56944700577695	4.54026153147768	4.62936408466503	4.56248736916379
ENSRNOG00000053774	288801	Olr907	0	0	0	0
ENSRNOG00000053772	24933	Klra22	0	0	0	0
ENSRNOG00000020699	29185	Cd37	0.557246560136402	0.71986609177094	0.536442135992894	0.427201833934596
ENSRNOG00000020698	303553	Rnd2	2.0947910518358	2.23333241530733	2.10319791647386	2.10028860912199
ENSRNOG00000020696	310645	Pmvk	4.37766032133362	4.61714162060452	4.40290212926673	4.52473306146804
ENSRNOG00000020695	308582	Tead2	3.59842887718393	3.73480508290838	3.55851780078158	3.63414570543578
ENSRNOG00000020694	313785	Icam5	0.0991241023174267	0.176630520454688	0.157437457037184	0.074764760476306
ENSRNOG00000020693	361728	Tmem138	2.4699099968382	2.51818137870829	2.63525207272274	2.58522553496902
ENSRNOG00000020692	361727	Tmem216	2.11407890795785	2.1358509544628	2.37780273330233	2.25773270216382
ENSRNOG00000057476	100361436		2.6325333982606	2.4968324318607	2.5470190897644	2.5838480097104
ENSRNOG00000057471	300558	Olr1234	0	0	0	0
ENSRNOG00000057470	362039	Pla2g12a	3.08808158989198	3.01774580018828	3.01244566639714	3.10994137505364
ENSRNOG00000042432	315978	Nek11	0.291697743991226	0.447193896538778	0.444328568918743	0.341623796452563
ENSRNOG00000027478	100359886	Krtap11-1	0.0775661670314992	0	0	0.0424523673140178
ENSRNOG00000057290	312135	Tmem168	3.84568873688581	3.85836706716628	3.84368204591087	3.86498468187096
ENSRNOG00000051731	108348119		1.88363361189813	1.88534448948563	1.8224379986762	1.75133889866979
ENSRNOG00000015769	293223	Olr80	0	0	0	0
ENSRNOG00000015763	113892	Nat8f3	0.0327198801638985	0	0	0
ENSRNOG00000015762	297432	Abtb1	2.15284342536788	2.37922409774813	2.21829941385343	2.33607787482496
ENSRNOG00000015760	293221	Olr78	0	0	0	0
ENSRNOG00000015764	293222	Olr79	0	0	0	0
ENSRNOG00000017401	500573	Tmco4	1.56850551056226	1.26702080126468	1.54184924452213	1.41659992443387
ENSRNOG00000017403	499264	Apobr	0.46800528410415	0.43140210623168	0.384383459291551	0.441085091456419
ENSRNOG00000017404	311726	Pcmtd2	3.60620611016251	3.79766109430813	3.76055935967247	3.79116372367432
ENSRNOG00000017405	296301	Raly	7.13038550343021	7.21343468875638	7.09238315411241	7.19529276545032
ENSRNOG00000017406	307992	Atrnl1	1.70370356461974	1.62551497417492	1.66216394407737	1.66447530866398
ENSRNOG00000017408	293343	Fam160a2	2.47099565844148	2.45516672009927	2.38830858423669	2.38097170055124
ENSRNOG00000059295	362713	Selenoi	4.01253554830697	4.02391349653487	4.05160663269443	4.11652249052876
ENSRNOG00000059293	108351965	LOC108351965	0	0	0	0
ENSRNOG00000018561	294007	Pprc1	3.79924099641552	3.60945544636797	3.71148738306414	3.64523740963602
ENSRNOG00000051194	108352134	LOC108352134	0	0	0.0361936026043735	0
ENSRNOG00000051195	690758	Vom2r22	0	0	0	0
ENSRNOG00000061041	100910182		0.395820271089412	0.440718578880836	0.360204943918088	0.360959215448859
ENSRNOG00000061040	309758	Herc4	3.90015606254194	3.86358729061854	3.91001070301666	3.87325236828248
ENSRNOG00000051192	679783	Tmem211	0	0	0	0
ENSRNOG00000018569	362013	Ahcyl1	5.9980684861199	6.03146827316209	6.01437150506729	5.93499882713908
ENSRNOG00000014171	287437	Tnfsf13	1.67655066925056	1.35493022616428	1.28441584524585	1.56724653235526
ENSRNOG00000014170	81653	Dbn1	5.03565603690259	5.32286744996182	5.02382071749225	5.06740572524876
ENSRNOG00000014173	29486	Smc3	4.73992376931792	4.6690350196535	4.78827326076347	4.79984841519167
ENSRNOG00000014172	25340	Npy5r	0	0	0	0
ENSRNOG00000023579	310859	Tet2	2.88315391656025	2.76689184202594	2.75595037178308	2.77274078257918
ENSRNOG00000023578	65182	Oprpn	0	0	0	0
ENSRNOG00000014179	83789	Rps2	10.1575854503329	10.2164259871538	10.1769670720128	10.2381562737624
ENSRNOG00000014178	294973	Acad9	4.00568807626531	4.07129524542989	4.07848684934619	4.08324881015041
ENSRNOG00000003086	501702	Cenpv	2.02081635049493	2.10712768189662	2.07141309263595	2.28032264403093
ENSRNOG00000010841	313592	Col8a2	1.2848053267913	1.88167469513167	1.49641009934085	1.38922823198696
ENSRNOG00000010840	308787	Adamtsl3	2.53446255755823	2.58114165923155	2.69628806643193	2.6428360806475
ENSRNOG00000010843	310416	Nhlrc3	3.1821975812611	3.0130228312196	3.13113065615104	3.13443852998464
ENSRNOG00000010846	317381	Ccdc22	3.33129187276231	3.27840002176261	3.30170513471142	3.21486347225091
ENSRNOG00000010849	362600	Adprhl2	4.82501119029577	4.9488717282702	4.76037922618007	4.8209442458103
ENSRNOG00000016448	25435	Eef2k	2.96449103931636	2.9199892965104	2.92608656793987	2.96345523069322
ENSRNOG00000016443	313825	Vps13d	2.95733300738715	2.85265413349646	2.89960978999109	2.8394393201171
ENSRNOG00000016442	252885	Hoxc6	0	0	0	0
ENSRNOG00000016447	301374	RGD1310553	3.07528159140013	2.9767420323431	3.11202837453231	3.1149672364304
ENSRNOG00000022229	289504	Sdad1	3.70567106995555	3.46601029775986	3.6512856083861	3.55738484421544
ENSRNOG00000022225	680478	Lrrc19	0	0	0	0
ENSRNOG00000060319	404811	Olr727	0	0	0	0
ENSRNOG00000060312	108348197	LOC108348197	4.98949399564887	4.95638557729572	4.9190903510243	5.00810443247634
ENSRNOG00000060310	688815	LOC688815	5.73538768548206	5.87971520579942	5.76383283180298	5.82396432892898
ENSRNOG00000004112	305476	RGD1308775	0.043984873055315	0.0185048434172404	0.0179383710728434	0.0185830756015865
ENSRNOG00000004111	81782	Soat1	5.36538485962802	5.2370564638382	5.39527669566726	5.37818051053604
ENSRNOG00000012478	25546	Shox2	0.323931498381492	0.342942027873524	0.37982384772195	0.404637260751239
ENSRNOG00000049832	100912217	Olr281	0	0	0	0
ENSRNOG00000024101	361377	Phkb	2.67503618319653	2.62698739681756	2.62021572233936	2.59947592200718
ENSRNOG00000024104	291439	Mbd1	3.57370276641432	3.66231606930768	3.48513437943914	3.53268868830126
ENSRNOG00000015843	171083	Itfg1	4.95837993107733	4.85605860056496	5.04178854577613	5.04384201902679
ENSRNOG00000061863	24438	H1f6	0.251448613181573	0.144132150216705	0.257663019143906	0.137310102941674
ENSRNOG00000061862	80338	Zbtb10	2.03050841557016	1.77199618760608	1.86768826842167	1.88883869783639
ENSRNOG00000030855	296666	Olr403	0	0	0	0
